epoch,direction_1d_accuracy,direction_1d_auc,direction_1d_loss,direction_5d_accuracy,direction_5d_auc,direction_5d_loss,loss,return_1d_loss,return_1d_mae,return_3d_loss,return_3d_mae,return_5d_loss,return_5d_mae,val_direction_1d_accuracy,val_direction_1d_auc,val_direction_1d_loss,val_direction_5d_accuracy,val_direction_5d_auc,val_direction_5d_loss,val_loss,val_return_1d_loss,val_return_1d_mae,val_return_3d_loss,val_return_3d_mae,val_return_5d_loss,val_return_5d_mae
0,0.5251978635787964,0.5293900370597839,0.7001211643218994,0.557736337184906,0.5632624626159668,0.6830184459686279,0.6986336708068848,0.0013597767101600766,0.1410447657108307,0.00246817315928638,0.13318338990211487,0.0030970789957791567,0.11737208813428879,0.5050092935562134,0.512453019618988,0.7124328017234802,0.5110698938369751,0.5097818374633789,0.7910997867584229,0.7537583112716675,0.0005798858474008739,0.06301649659872055,0.00035674450919032097,0.026135509833693504,0.001083865063264966,0.04931914061307907
1,0.5856066942214966,0.617831826210022,0.6710401773452759,0.6607490181922913,0.7136136293411255,0.6166698336601257,0.6477360725402832,0.0007620296091772616,0.08112617582082748,0.0013008523965254426,0.07442818582057953,0.0016956166364252567,0.070162832736969,0.5066996216773987,0.5096274018287659,0.730513870716095,0.5324675440788269,0.5076633095741272,0.8185756802558899,0.7758253216743469,0.00014650238153990358,0.019088376313447952,0.0004287716874387115,0.029986107721924782,0.0005490272887982428,0.030045168474316597
2,0.6268742084503174,0.6718636155128479,0.6459977030754089,0.6905629634857178,0.7519792914390564,0.5867140889167786,0.6194037795066833,0.0005624198820441961,0.06112050265073776,0.0011162090813741088,0.06515031307935715,0.0012926488416269422,0.05634210631251335,0.509049654006958,0.5114852786064148,0.7270138263702393,0.5284271240234375,0.5035709142684937,0.7923264503479004,0.7609513401985168,0.00016161645180545747,0.02073829621076584,0.0003382968425285071,0.025269730016589165,0.0005589170614257455,0.030491285026073456
3,0.6614605188369751,0.71410071849823,0.6195892095565796,0.7045502066612244,0.7722190022468567,0.5678684711456299,0.5958171486854553,0.0004141266690567136,0.04621183127164841,0.0008314178558066487,0.05072413384914398,0.000959180761128664,0.044697392731904984,0.5116058588027954,0.5203394293785095,0.7535767555236816,0.5313131213188171,0.5156315565109253,0.8216922879219055,0.7888777256011963,0.00021314893092494458,0.025880947709083557,0.00032541240216232836,0.0244803037494421,0.0006205906975083053,0.03289882093667984
4,0.6740073561668396,0.7352164387702942,0.6032801270484924,0.7147195339202881,0.784204363822937,0.5559510588645935,0.5813718438148499,0.00027736311312764883,0.03240858390927315,0.0006368568283505738,0.04072455316781998,0.0007541060913354158,0.037386924028396606,0.5180374979972839,0.5250941514968872,0.7481012940406799,0.5312306880950928,0.5123438835144043,0.8714916706085205,0.8111335635185242,9.56040748860687e-05,0.013731420040130615,0.0004235784290358424,0.029826706275343895,0.0005984111339785159,0.031998857855796814
5,0.6822851300239563,0.7501242756843567,0.5905116200447083,0.7285332679748535,0.8012951016426086,0.5380604863166809,0.5657201409339905,0.00018284546968061477,0.022791853174567223,0.0005311216227710247,0.03524129465222359,0.0006362975691445172,0.03302348777651787,0.5145331025123596,0.5268922448158264,0.8123572468757629,0.5353947877883911,0.5200349688529968,0.8446776866912842,0.8298586010932922,8.43924717628397e-05,0.012516891583800316,0.0003212615556549281,0.024303415790200233,0.000561978027690202,0.030634194612503052
6,0.6918471455574036,0.7604584097862244,0.5812806487083435,0.7340865135192871,0.8115583658218384,0.5258480310440063,0.5546844601631165,0.0001245051680598408,0.016751598566770554,0.0004065471584908664,0.02872348017990589,0.0005614891997538507,0.030202152207493782,0.5197691321372986,0.5235010385513306,0.7566959261894226,0.5326324701309204,0.5089552402496338,0.8506567478179932,0.8048118352890015,7.670932973269373e-05,0.011652150191366673,0.0002925824373960495,0.02274802327156067,0.0005120221176184714,0.028611470013856888
7,0.7017388343811035,0.7728436589241028,0.5695128440856934,0.7490975856781006,0.8269983530044556,0.5071242451667786,0.5392861366271973,0.00010347666830057278,0.014522402547299862,0.00035118815139867365,0.025705471634864807,0.0005146441981196404,0.0283886156976223,0.5136260390281677,0.5233003497123718,0.7753326892852783,0.530529797077179,0.5163193345069885,0.9234350323677063,0.8505452871322632,8.145359606714919e-05,0.012190956622362137,0.00028602819656953216,0.022362276911735535,0.0005228631780482829,0.029075751081109047
8,0.7098084092140198,0.7848820686340332,0.5569438934326172,0.7580001354217529,0.840145468711853,0.4898402690887451,0.5243820548057556,9.353805216960609e-05,0.013433811254799366,0.00032282344182021916,0.024160221219062805,0.0005021585384383798,0.027869395911693573,0.5172954201698303,0.5259109139442444,0.7863125801086426,0.5266955494880676,0.5105465650558472,0.933415412902832,0.8615589737892151,7.773721881676465e-05,0.01175384409725666,0.00029077890212647617,0.022591739892959595,0.0005880601820535958,0.03154199197888374
9,0.7196827530860901,0.7959502339363098,0.545168936252594,0.7702693343162537,0.8521769642829895,0.47362345457077026,0.5102740526199341,8.927244925871491e-05,0.012958142906427383,0.0003012004017364234,0.022964170202612877,0.0004789452359545976,0.026999305933713913,0.5139146447181702,0.5174344778060913,0.7785405516624451,0.5275613069534302,0.5025386810302734,0.9868140816688538,0.8839153051376343,9.064477490028366e-05,0.013235265389084816,0.00031571771251037717,0.024049555882811546,0.0005922542186453938,0.03177769482135773
