model,split,direction_accuracy,return_rmse,return_mae,return_correlation,actual_mean_return,predicted_mean_return
always_up,validation,0.5053391053391053,0.016316813105339053,0.011306328866994066,,0.0005854499092178814,0.0
always_up,test,0.4814026299311209,0.017255553826918336,0.012268683822852575,,4.8623946915173264e-05,0.0
always_down,validation,0.49466089466089463,0.016316813105339053,0.011306328866994066,,0.0005854499092178814,0.0
always_down,test,0.5185973700688792,0.017255553826918336,0.012268683822852575,,4.8623946915173264e-05,0.0
zero_return,validation,0.49466089466089463,0.016316813105339053,0.011306328866994066,,0.0005854499092178814,0.0
zero_return,test,0.5185973700688792,0.017255553826918336,0.012268683822852575,,4.8623946915173264e-05,0.0
stock_mean_return,validation,0.5053391053391053,0.016314362694660526,0.011332393126806731,0.003973120825087991,0.0005854499092178814,0.0009390707800091305
stock_mean_return,test,0.4814026299311209,0.017271498418844216,0.012328251089649606,0.028542694593562193,4.8623946915173264e-05,0.0009390533712292931
