split,MAE,RMSE,Mean_IC,IC_STD,ICIR
TRAIN,0.011147201545209182,0.015843508343137653,0.4040630080398982,0.1861349753622028,34.460484318779386
VALID,0.012184504540739336,0.017393129323753746,0.0015520554072035498,0.16979839716470438,0.14510216929093336
TEST,0.012837025344364945,0.01774780419752162,0.010235677140452603,0.19115452607439987,0.8500261051662265
